Eat Me Crew Neck Sweater,Men,49.99,20.0,Green || ,https://blnts.com//products/0885-48342085-eat-me-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342085-30-0_270x400_crop_center.jpg?v=1606231387,Sweater,Bluenotes
Filthy Animal Crew Neck Sweater,Men,49.99,20.0,Red || ,https://blnts.com//products/0885-48342080-filthy-animal-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342080-60-0_270x400_crop_center.jpg?v=1606231351,Sweater,Bluenotes
Let's Get Baked Crew Neck Sweater,Men,49.99,20.0,Green || ,https://blnts.com//products/0885-48342086-lets-get-baked-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342086-30-0_270x400_crop_center.jpg?v=1606140273,Sweater,Bluenotes
Four Panel Crew Neck Sweater,Men,49.99,20.0,Black || ,https://blnts.com//products/0885-48342084-four-panel-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342084-01-0_270x400_crop_center.jpg?v=1606140273,Sweater,Bluenotes
Big Package Crew Neck Sweater,Men,49.99,20.0,Black || ,https://blnts.com//products/0885-48342087-big-package-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342087-01-0_270x400_crop_center.jpg?v=1605896440,Sweater,Bluenotes
Jingle My Bells Crew Neck Sweater,Men,49.99,20.0,Red || ,https://blnts.com//products/0885-48342083-jingle-my-bells-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342083-60-0_270x400_crop_center.jpg?v=1605896440,Sweater,Bluenotes
Chestnuts Roasting Crew Neck Sweater,Men,49.99,20.0,Black || ,https://blnts.com//products/0885-48342082-chestnuts-roasting-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342082-01-0_270x400_crop_center.jpg?v=1605896430,Sweater,Bluenotes
Happy Birthday Jesus Crew Neck Sweater,Men,49.99,20.0,Red || ,https://blnts.com//products/0885-48342081-happy-birthday-jesus-crew-neck-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/088548342081-60-0_270x400_crop_center.jpg?v=1605896418,Sweater,Bluenotes
Teddy Sherpa Mock Neck Zip Sweater,Men,29.99,15.0,Grey || Black || Off White || Beige || ,https://blnts.com//products/0895-48282001-teddy-sherpa-mock-neck-zip-sweater,https://cdn.shopify.com/s/files/1/1981/3329/products/089548282001-04_270x400_crop_center.jpg?v=1603725570,Sweater,Bluenotes
Fine-knit Turtleneck Sweater,men,$29.99,N/A,Black||White||Beige melange||Light beige melange,https://www2.hm.com/en_ca/productpage.0715828013.html,"""https://lp2.hm.com/hmgoepprod?set=source[/7a/a6/7aa644276fb84f7dfa0d922b8f9ed7c4cdd4dc0e.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/7a/a6/7aa644276fb84f7dfa0d922b8f9ed7c4cdd4dc0e.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Turtleneck Sweater,men,$29.99,N/A,White||Black||Beige melange||Light beige melange,https://www2.hm.com/en_ca/productpage.0715828011.html,"""https://lp2.hm.com/hmgoepprod?set=source[/ec/0c/ec0c29b54828e8e5a20fe98f07558492ef5522a4.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/ec/0c/ec0c29b54828e8e5a20fe98f07558492ef5522a4.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Sweater,men,$29.99,N/A,Dark blue/Santas||Red/dinosaur||Dark blue/Santa Paws,https://www2.hm.com/en_ca/productpage.0881345002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/9d/e1/9de172d190d129a859cd2d86635c01b8fd410b08.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/9d/e1/9de172d190d129a859cd2d86635c01b8fd410b08.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Pattern-knit Sweater,men,$29.99,N/A,Dark blue/Coca-Cola||Black/Star Wars,https://www2.hm.com/en_ca/productpage.0898616002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/17/97/179750249d03776539be8d6e13f17684f32e8740.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/17/97/179750249d03776539be8d6e13f17684f32e8740.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Sweater,men,$29.99,N/A,Dark blue/Santa Paws||Red/dinosaur||Dark blue/Santas,https://www2.hm.com/en_ca/productpage.0881345003.html,"""https://lp2.hm.com/hmgoepprod?set=source[/86/44/8644c15ed789ca1e5ca45278514ef0d6496764ae.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/86/44/8644c15ed789ca1e5ca45278514ef0d6496764ae.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Pattern-knit Sweater,men,$29.99,N/A,Black/Star Wars||Dark blue/Coca-Cola,https://www2.hm.com/en_ca/productpage.0898616001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/28/a7/28a7312e953993e6ff23bb0cc92c733487ee8547.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/28/a7/28a7312e953993e6ff23bb0cc92c733487ee8547.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[2]&call=url[file:/product/style]""",sweater,H&M
Sweater,men,$29.99,N/A,Red/dinosaur||Dark blue/Santas||Dark blue/Santa Paws,https://www2.hm.com/en_ca/productpage.0881345001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/42/7a/427a9caf466c4a20d2e733d6cc64a2544f98ae34.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/42/7a/427a9caf466c4a20d2e733d6cc64a2544f98ae34.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Muscle Fit Knit Sweater,men,$34.99,N/A,Dark gray||Natural white||Black||Beige,https://www2.hm.com/en_ca/productpage.0782479011.html,"""https://lp2.hm.com/hmgoepprod?set=source[/b3/80/b380a26ae842bd3c163abfc8a0d34eb0b9e2f6af.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/b3/80/b380a26ae842bd3c163abfc8a0d34eb0b9e2f6af.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Embroidered-detail Sweater,men,$34.99,N/A,Dark beige||Orange,https://www2.hm.com/en_ca/productpage.0944030002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/d6/a3/d6a331c676a6e66dd61268aa0df7abb47caf31fa.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/d6/a3/d6a331c676a6e66dd61268aa0df7abb47caf31fa.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Slub-knit Sweater,men,$29.99,N/A,Black||Gray||Light beige,https://www2.hm.com/en_ca/productpage.0936604001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/59/2d/592da8e81c8f9bdc0568c1fc7e1cf77d2f01aa80.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/59/2d/592da8e81c8f9bdc0568c1fc7e1cf77d2f01aa80.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Knit Sweater,men,$49.99,N/A,Khaki green/dark blue||Black/white patterned,https://www2.hm.com/en_ca/productpage.0889571006.html,"""https://lp2.hm.com/hmgoepprod?set=source[/8c/c5/8cc555fca6f842ec9c0e771f74e665d235142bf9.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/8c/c5/8cc555fca6f842ec9c0e771f74e665d235142bf9.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Slub-knit Sweater,men,$29.99,N/A,Light beige||Black||Gray,https://www2.hm.com/en_ca/productpage.0936604003.html,"""https://lp2.hm.com/hmgoepprod?set=source[/bd/af/bdaf91bbad5d7f4b40a4b3c7ba14d8a2cbcb138b.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/bd/af/bdaf91bbad5d7f4b40a4b3c7ba14d8a2cbcb138b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Slub-knit Sweater,men,$29.99,N/A,Gray||Black||Light beige,https://www2.hm.com/en_ca/productpage.0936604002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/76/52/765296ed6df316856b79b8f5a779a990f4ecfb9e.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/76/52/765296ed6df316856b79b8f5a779a990f4ecfb9e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Rib-knit Turtleneck Sweater,men,$39.99,N/A,Dark beige||Black||White||Brown,https://www2.hm.com/en_ca/productpage.0656491015.html,"""https://lp2.hm.com/hmgoepprod?set=source[/43/05/4305dc3ca43fec5b2031fd94c3d986f82409920a.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/43/05/4305dc3ca43fec5b2031fd94c3d986f82409920a.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Embroidered-detail Sweater,men,$34.99,N/A,Orange||Dark beige,https://www2.hm.com/en_ca/productpage.0944030005.html,"""https://lp2.hm.com/hmgoepprod?set=source[/fb/1a/fb1af5837865dfb1bfab8515c4fc644d23600db6.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/fb/1a/fb1af5837865dfb1bfab8515c4fc644d23600db6.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Rib-knit Sweater,men,$34.99,N/A,Black/light beige,https://www2.hm.com/en_ca/productpage.0962716001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/02/d7/02d751d8dd5cb22a9185f7315b3d08b628b2d2a7.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/02/d7/02d751d8dd5cb22a9185f7315b3d08b628b2d2a7.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Rib-knit Turtleneck Sweater,men,$39.99,N/A,Navy blue||Black||White||Brown,https://www2.hm.com/en_ca/productpage.0656491011.html,"""https://lp2.hm.com/hmgoepprod?set=source[/bb/0b/bb0b594509e3ab5e44a5c2b8e2795561ea06afe9.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/bb/0b/bb0b594509e3ab5e44a5c2b8e2795561ea06afe9.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[3]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[3]&call=url[file:/product/style]""",sweater,H&M
Rib-knit Turtleneck Sweater,men,$39.99,N/A,Steel gray||Black||White||Brown,https://www2.hm.com/en_ca/productpage.0656491014.html,"""https://lp2.hm.com/hmgoepprod?set=source[/f6/aa/f6aa77f82bf00db0ac27c41ed12c5d5f03752be4.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/f6/aa/f6aa77f82bf00db0ac27c41ed12c5d5f03752be4.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Premium Cotton Polo Sweater,men,$49.99,N/A,Light beige||Black||Navy blue,https://www2.hm.com/en_ca/productpage.0933465003.html,"""https://lp2.hm.com/hmgoepprod?set=source[/08/bc/08bcde4e9e09f368a23ac64c10c2702c34034521.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/08/bc/08bcde4e9e09f368a23ac64c10c2702c34034521.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Premium Cotton Polo Sweater,men,$49.99,N/A,Black||Navy blue||Light beige,https://www2.hm.com/en_ca/productpage.0933465001.html,"""https://lp2.hm.com/hmgoepprod?set=source[/91/27/91278af3bd363aa6646cd69a46ab0de54c75d44c.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/91/27/91278af3bd363aa6646cd69a46ab0de54c75d44c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Modal-blend Sweater,men,$34.99,N/A,Dark gray melange||Black||White||Brown,https://www2.hm.com/en_ca/productpage.0914552006.html,"""https://lp2.hm.com/hmgoepprod?set=source[/39/1a/391a996342a9c110ad8ce9e9782959c004dc1981.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/39/1a/391a996342a9c110ad8ce9e9782959c004dc1981.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Premium Cotton Polo Sweater,men,$49.99,N/A,Navy blue||Black||Light beige,https://www2.hm.com/en_ca/productpage.0933465002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/21/32/2132fa45d8ba0e64b79fba9dfd09e4ce09b19220.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/21/32/2132fa45d8ba0e64b79fba9dfd09e4ce09b19220.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Modal-blend Sweater,men,$34.99,N/A,Dark beige melange||Black||White||Brown,https://www2.hm.com/en_ca/productpage.0914552005.html,"""https://lp2.hm.com/hmgoepprod?set=source[/93/62/93621087c35de044494f322fd04c97044938c2b2.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/93/62/93621087c35de044494f322fd04c97044938c2b2.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Merino Wool Sweater,men,$79.99,N/A,Dark blue||Gray melange||Beige melange||Cream,https://www2.hm.com/en_ca/productpage.0893068006.html,"""https://lp2.hm.com/hmgoepprod?set=source[/f5/f4/f5f4427092f031a54e8523bc49c19c11d1e17495.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/f5/f4/f5f4427092f031a54e8523bc49c19c11d1e17495.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Merino Wool Sweater,men,$79.99,N/A,Cream||Gray melange||Beige melange||Dark blue,https://www2.hm.com/en_ca/productpage.0893068005.html,"""https://lp2.hm.com/hmgoepprod?set=source[/a0/f0/a0f019eecba76e35f1c4d006a443777411b1cc1e.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/a0/f0/a0f019eecba76e35f1c4d006a443777411b1cc1e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Premium Cotton Sweater,men,$39.99,N/A,Dark beige||Black||Navy blue||Gray melange,https://www2.hm.com/en_ca/productpage.0927671002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/3c/33/3c33e3d5d0ddc55d072d245e7700e026d61745b5.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/3c/33/3c33e3d5d0ddc55d072d245e7700e026d61745b5.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Premium Cotton Sweater,men,$39.99,N/A,Navy blue||Black||Dark beige||Gray melange,https://www2.hm.com/en_ca/productpage.0927671003.html,"""https://lp2.hm.com/hmgoepprod?set=source[/9b/bc/9bbc8afbd4b6bee3fa0b8094dd8a81d868ea3f4f.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/9b/bc/9bbc8afbd4b6bee3fa0b8094dd8a81d868ea3f4f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Premium Cotton Sweater,men,$39.99,N/A,Gray melange||Black||Dark beige||Navy blue,https://www2.hm.com/en_ca/productpage.0927671004.html,"""https://lp2.hm.com/hmgoepprod?set=source[/cf/34/cf34c942488ad6689655897ca22fcb4d87f3c252.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/cf/34/cf34c942488ad6689655897ca22fcb4d87f3c252.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Merino Wool Sweater,men,$59.99,N/A,Light gray||Dark beige||Black||Navy blue,https://www2.hm.com/en_ca/productpage.0863644010.html,"""https://lp2.hm.com/hmgoepprod?set=source[/86/bf/86bf2a2d1777a2d13765cabfed97c6cf6f5e3d5d.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/86/bf/86bf2a2d1777a2d13765cabfed97c6cf6f5e3d5d.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Merino Wool Sweater,men,$59.99,N/A,Cream||Dark beige||Black||Navy blue,https://www2.hm.com/en_ca/productpage.0863644009.html,"""https://lp2.hm.com/hmgoepprod?set=source[/bd/16/bd167dab7dd468e64b5688eb34ffa11d3b0769a2.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/bd/16/bd167dab7dd468e64b5688eb34ffa11d3b0769a2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Turtleneck Sweater,men,$29.99,N/A,Light beige melange||White||Black||Beige melange,https://www2.hm.com/en_ca/productpage.0715828017.html,"""https://lp2.hm.com/hmgoepprod?set=source[/bd/82/bd82c9947ed76f5560a80c279312c2e4fa647363.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/bd/82/bd82c9947ed76f5560a80c279312c2e4fa647363.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Cotton Turtleneck Sweater,men,$34.99,N/A,Black melange||Brown||Light gray melange||Dark blue,https://www2.hm.com/en_ca/productpage.0889575002.html,"""https://lp2.hm.com/hmgoepprod?set=source[/61/7b/617b2db4a11809f400c3e237a74438b3cc33ea54.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/61/7b/617b2db4a11809f400c3e237a74438b3cc33ea54.jpg],origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_turtleneck],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Sweater,men,$29.99,N/A,Burgundy||Light gray melange||Black||Light beige melange,https://www2.hm.com/en_ca/productpage.0564358061.html,"""https://lp2.hm.com/hmgoepprod?set=source[/74/19/7419149356a4ba23324d33250f485561203c890e.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/74/19/7419149356a4ba23324d33250f485561203c890e.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
Fine-knit Sweater,men,$29.99,N/A,Cream||Light gray melange||Black||Light beige melange,https://www2.hm.com/en_ca/productpage.0564358059.html,"""https://lp2.hm.com/hmgoepprod?set=source[/c7/82/c782b9be4a72509b549613e3463413016b3271cf.jpg],""https://lp2.hm.com/hmgoepprod?set=source[/c7/82/c782b9be4a72509b549613e3463413016b3271cf.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]""",origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],"hmver[1]&call=url[file:/product/style]""",sweater,H&M
